config_id,method,trial,params,fitness,head_to_head_score,runtime,memory,bit_string
29,genetic,0,"{'pop_size': 1, 'numIterations': 40, 'percentForCrossover': 1.0}",1.96,1.98,0.00271,85,11100101000111001101001101000110011001101001001101010101001001111001000111110111110
29,genetic,1,"{'pop_size': 1, 'numIterations': 40, 'percentForCrossover': 1.0}",1.88,1.92,0.00262,85,1111101110111011010101110001010000101001101001100101100011111101110111100111001101111
29,genetic,2,"{'pop_size': 1, 'numIterations': 40, 'percentForCrossover': 1.0}",1.79,1.85,0.00266,85,101001101100111101111011000001111111000110101111101110010011110100110011110000101100
29,genetic,3,"{'pop_size': 1, 'numIterations': 40, 'percentForCrossover': 1.0}",2.11,2.1,0.00278,85,101011110011011110101010010010010101000000101000110111001110110011001000000101001011
29,genetic,4,"{'pop_size': 1, 'numIterations': 40, 'percentForCrossover': 1.0}",2.57,2.51,0.00251,85,101010000000101110100100100110000111010111110100111101001101101101101111111111111100
30,genetic,0,"{'pop_size': 1, 'numIterations': 80, 'percentForCrossover': 1.0}",1.94,1.87,0.00529,85,111111100000111010011101011010010001110011111110101111110001111010101101010100011011
30,genetic,1,"{'pop_size': 1, 'numIterations': 80, 'percentForCrossover': 1.0}",2.17,2.29,0.00572,85,101110010010011111110111111100001101100011101101101001110110111011001011011110100
30,genetic,2,"{'pop_size': 1, 'numIterations': 80, 'percentForCrossover': 1.0}",2.46,2.38,0.00514,85,10010100111101101110110100110111101000111000101100110011001101000101010110110010
30,genetic,3,"{'pop_size': 1, 'numIterations': 80, 'percentForCrossover': 1.0}",2.26,2.27,0.00542,85,101001101010010111001101100010000111000000101100001010100011100011110001111001000101
30,genetic,4,"{'pop_size': 1, 'numIterations': 80, 'percentForCrossover': 1.0}",2.11,2.09,0.00532,85,11000011111110010100110010011000010011101110101011100010100111010011111110100111
31,genetic,0,"{'pop_size': 2, 'numIterations': 5, 'percentForCrossover': 1.0}",2.54,2.48,0.0007,85,11000101111111001100000111110111101011010111100011101111010001000110000101010010010
31,genetic,1,"{'pop_size': 2, 'numIterations': 5, 'percentForCrossover': 1.0}",2.09,2.13,0.00065,85,1000011011100000101110010011111111111100000100111001000000011100001001110011100000100
31,genetic,2,"{'pop_size': 2, 'numIterations': 5, 'percentForCrossover': 1.0}",2.69,2.65,0.00063,85,101010110011011010001000010111001011100001000100100111100110110010000000000111110000
31,genetic,3,"{'pop_size': 2, 'numIterations': 5, 'percentForCrossover': 1.0}",2.61,2.55,0.00065,85,101001000100001101110000110110111011110111000110111110001011011100111101010000
31,genetic,4,"{'pop_size': 2, 'numIterations': 5, 'percentForCrossover': 1.0}",2.02,2.0,0.00066,85,1011010000010001001011100101111111001100011101100111000001110111110010000001110010111
32,genetic,0,"{'pop_size': 2, 'numIterations': 10, 'percentForCrossover': 1.0}",2.11,2.1,0.00129,85,1001010000101101110010111010011000000001100100000111111110110111010110010100010011010
32,genetic,1,"{'pop_size': 2, 'numIterations': 10, 'percentForCrossover': 1.0}",1.97,2.11,0.0013,85,1111110100101101110001001100110111101000001001001100110011010000010101011001111101010
32,genetic,2,"{'pop_size': 2, 'numIterations': 10, 'percentForCrossover': 1.0}",2.14,2.07,0.00132,85,11000011011101000101010000101100000000101100000000001101101011110111010110010111101
32,genetic,3,"{'pop_size': 2, 'numIterations': 10, 'percentForCrossover': 1.0}",2.24,2.16,0.00133,85,1000100111110110101001010101011010000011101011101101101000011000100001000110101000000
32,genetic,4,"{'pop_size': 2, 'numIterations': 10, 'percentForCrossover': 1.0}",2.35,2.37,0.0013,85,1010010111101100111001111010010110111100101011101000000000110110111100001100110101
